NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,DIPUTADO NACIONAL
13,"MOVIMIENTO AL SOCIALISMO - LISTA ""1A"" - UNIDAD DE LA IZQUIERDA",,
13,"MOVIMIENTO AL SOCIALISMO - LISTA ""1A"" - UNIDAD DE LA IZQUIERDA",2,2
,"TOTAL MOVIMIENTO AL SOCIALISMO - LISTA ""1A"" - UNIDAD DE LA IZQUIERDA",2,2
23,"UNION POPULAR - LISTA ""A"" -  AZUL Y AMARILLO",,0
36,"PARTIDO AUTONOMISTA- LISTA ""A"" VALORES Y EXPERIENCIA",,
36,"PARTIDO AUTONOMISTA - LISTA ""A"" - VALORES Y EXPERIENCIA",0,
,"TOTAL PARTIDO AUTONOMISTA- LISTA ""A"" VALORES Y EXPERIENCIA",0,
57,"MOVIMIENTO DE ACCION VECINAL-LISTA ""A"" COMPROMISO FEDERAL",,
57,"MOVIMIENTO DE ACCION VECINAL - LISTA ""A"" - COMPROMISO VECINAL",2,1
,"TOTAL MOVIMIENTO DE ACCION VECINAL-LISTA ""A"" COMPROMISO FEDERAL",2,1
87,"UNITE POR LA LIBERTAD Y LA DIGNIDAD-LISTA""A"" DESPERTAR",,
87,"UNITE POR LA LIBERTAD Y LA DIGNIDAD - LISTA ""A"" - DESPERTAR/""A"" LA OLA CELESTE",8,7
,"TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD-LISTA""A"" DESPERTAR",8,7
131,"FRENTE NOS- LISTA""A""- CELESTE 2019",,
131,"FRENTE NOS - LISTA ""A"" - CELESTE 2019",10,
,"TOTAL FRENTE NOS- LISTA""A""- CELESTE 2019",10,
132,FRENTE PATRIOTA,,
132,"FRENTE PATRIOTA - LISTA ""A"" - CELESTE",0,
,TOTAL FRENTE PATRIOTA,0,
133/504,FRENTE DE IZQUIERDA Y DE TRABAJADORES -  UNIDAD,,
133/504,"FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD - LISTA ""A"" - UNIDAD",7,13
,TOTAL FRENTE DE IZQUIERDA Y DE TRABAJADORES -  UNIDAD,7,13
135/502,JUNTOS POR EL CAMBIO,,
135/502,"JUNTOS POR EL CAMBIO - LISTA ""A"" - JUNTOS SOMOS EL CAMBIO/ ""A""-JUNTOS POR CBA",128,115
135/502,"JUNTOS POR EL CAMBIO - LISTA ""B"" - SOMOS CONSENSO Y RENOVACION",,1
135/502,"JUNTOS POR EL CAMBIO - LISTA ""C"" -  BLANCA Y ROJA",,3
,TOTAL JUNTOS POR EL CAMBIO,128,119
136/505,FRENTE DE TODOS,,
136/505,"FRENTE DE TODOS - LISTA ""A"" - CELESTE Y BLANCA / ""A"" - DE TODOS",63,50
,TOTAL FRENTE DE TODOS,63,50
137/506,CONSENSO FEDERAL,,
137/506,"CONSENSO FEDERAL - LISTA ""A"" - CONSENSO PARA EL FUTURO",15,10
,TOTAL CONSENSO FEDERAL,15,10
217,"ENCUENTRO VECINAL CORDOBA - LISTA ""A1"" - VALORES EN ACCION",,8
501,FRENTE DESPERTAR,,
501,"FRENTE DESPERTAR - LISTA ""A"" - DEMOCRATA LIBERAL",,1
501,"FRENTE DESPERTAR - LISTA ""B""- LIBERTARIOS",,1
,TOTAL FRENTE DESPERTAR,,2
503,"HACEMOS POR CORDOBA - LISTA ""A"" - PRIMERO CORDOBA",,22
,VOTOS NULOS,1,1
,VOTOS RECURRIDOS,0,0
,VOTOS IMPUGNADOS,0,0
,VOTOS EN BLANCO,7,8
,TOTALES,243,243
