ADOLFO ALSINA,1
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,3,,
503,AZA.AVANZA LIBERTAD,17,15,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,5,5,
506,AZA.JUNTOS,125,126,136
507,FRENTE DE TODOS,59,57,65
508,FRENTE VAMOS CON VOS,31,32,39
,VOTOS NULOS,4,4,4
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,20,25,20
,TOTALES,264,264,264
ADOLFO ALSINA,2
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,8,,
503,AZA.AVANZA LIBERTAD,6,7,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,169,170,168
507,FRENTE DE TODOS,43,43,48
508,FRENTE VAMOS CON VOS,30,29,32
,VOTOS NULOS,3,3,1
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,8,15,22
,TOTALES,271,271,271
ADOLFO ALSINA,3
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,5,6,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,7,
506,AZA.JUNTOS,148,146,145
507,FRENTE DE TODOS,49,45,49
508,FRENTE VAMOS CON VOS,26,26,31
,VOTOS NULOS,3,3,3
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,6,12,17
,TOTALES,245,245,245
ADOLFO ALSINA,4
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,2,,
503,AZA.AVANZA LIBERTAD,10,11,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,8,9,
506,AZA.JUNTOS,153,151,153
507,FRENTE DE TODOS,50,50,45
508,FRENTE VAMOS CON VOS,19,19,26
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,15,17,33
,TOTALES,257,257,257
ADOLFO ALSINA,5
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,5,,
503,AZA.AVANZA LIBERTAD,8,9,
